house_domain,name,uf,lots_finalizados,lots_vendidos,lots_zero_lance,martelo_medio,lots_ao_vivo,sell_through,zero_bid_rate
raphaelbarbeitoleiloes.com.br,Raphael Barbeito Leilões,RJ,215,44,171,558.6363636363636,0,0.20465116279069767,0.7953488372093023
fedraartleiloes.com.br,Fedra Art Leilões,,213,58,154,875.0172413793103,0,0.27230046948356806,0.7230046948356808
thapejoias.com.br,Thape Joias,RJ,209,34,175,2119.3823529411766,0,0.16267942583732056,0.8373205741626795
temperanileiloes.com.br,Temperani Leilões,SP,206,142,64,112.97887323943662,0,0.6893203883495146,0.3106796116504854
tavaresleiloes.com.br,Tavares Leilões,RJ,202,44,165,5297.840909090909,0,0.21782178217821782,0.8168316831683168
republicadaarte.com.br,Galeria República da Arte,PR,200,195,0,123.63589743589743,9,0.975,0.0
multicolecionismo.com.br,M. Javaroni Multicolecionismo,,200,136,64,611.7794117647059,0,0.68,0.32
leiloesgaleriavh.com.br,Leilões Galeria Victor Hugo,SP,200,148,52,1748.7162162162163,0,0.74,0.26
souzalimaantiguidades.com.br,Souza Lima Antiguidades,,199,28,164,143.21428571428572,0,0.1407035175879397,0.8241206030150754
leiloesrbraga.com.br,Leilões Braga,,193,130,44,329.46923076923076,7,0.6735751295336787,0.22797927461139897
pecasehistorias.com.br,Peças e Historias Leilões,SP,183,142,41,63.943661971830984,0,0.7759562841530054,0.22404371584699453
pulitileiloes.com.br,Puliti Leilões,,181,44,137,530.9090909090909,0,0.2430939226519337,0.7569060773480663
livrariafigaroleiloes.com.br,Livraria Fígaro Leilões,PR,180,119,61,154.92436974789916,0,0.6611111111111111,0.3388888888888889
discosesquecidosleilao.com.br,Discos Esquecidos Colecionismo,SP,180,144,36,58.076388888888886,0,0.8,0.2
valhalaleiloes.com.br,Valhala Leilões,SP,172,16,156,1006.25,0,0.09302325581395349,0.9069767441860465
danielbastosleiloeiro.com.br,Daniel Bastos Leiloeiro Público,,171,51,120,963.6274509803922,79,0.2982456140350877,0.7017543859649122
saojorgeleiloes.com.br,São Jorge Leilões,SP,156,144,9,343.11805555555554,0,0.9230769230769231,0.057692307692307696
referencialarteleiloes.com.br,Referencial Arte Leilões,SP,153,133,20,671.6842105263158,0,0.869281045751634,0.13071895424836602
quasetudomoveisleiloes.com.br,Quase Tudo Móveis Leilões,SP,147,75,70,1415.5333333333333,0,0.5102040816326531,0.47619047619047616
oldstoreleiloes.com.br,Old Store Leilões,SP,124,93,31,55.666666666666664,0,0.75,0.25
mykonosleiloes.com.br,Mykonos leilões,SP,121,103,0,1659.5242718446602,0,0.8512396694214877,0.0
waltergisermanleiloes.com.br,Walter Giserman Leilões,RJ,120,35,85,3820.2571428571428,0,0.2916666666666667,0.7083333333333334
chapeludoantiguidades.com.br,Chapeludo Antiguidades,,112,46,59,26.043478260869566,0,0.4107142857142857,0.5267857142857143
reiarthurleiloes.com.br,Rei Arthur Leilões,SP,111,95,16,48.97894736842105,0,0.8558558558558559,0.14414414414414414
familiaybyleiloes.com.br,Família YbY,,109,56,52,330.73214285714283,0,0.5137614678899083,0.47706422018348627
lulhoefernandesantiquities.com.br,Lulho e Fernandes Antiquities,,100,24,76,82.08333333333333,0,0.24,0.76
nossopassado.com.br,Nosso Passado Mobiliário,RJ,98,90,1,4726.177777777778,0,0.9183673469387755,0.01020408163265306
mariapaulaleiloes.com.br,"Maria Paula Leilões, Antiguidades e Artes",SP,95,35,60,341.0,0,0.3684210526315789,0.631578947368421
webantigos.com.br,Web Antigos,RS,83,8,75,2987.5,0,0.0963855421686747,0.9036144578313253
yellowcatleiloes.com.br,Yellow Cat Joias,SC,59,12,47,1399.1666666666667,0,0.2033898305084746,0.7966101694915254
leirialeiloes.com.br,Leiria Leilões,SP,53,39,14,1314.948717948718,0,0.7358490566037735,0.2641509433962264
watchbossleiloes.com.br,Watch Boss Leilões,SP,42,31,2,4500.064516129032,0,0.7380952380952381,0.047619047619047616
artebrasilleiloes.com.br,Arte Brasil Leilões,RJ,0,0,0,,17,,
artemaiorleiloes.com.br,Arte Maior Leilões,PE,0,0,0,,100,,
ampliartleiloes.com.br,Ampliart Leilões,,0,0,0,,17,,
antiguitati.com.br,Antiguitati Leilões,,0,0,0,,124,,
aguiamontebelense.com.br,Águia Monte Belense Leilões,,0,0,0,,37,,
arsleiloes.com.br,Graphos Arte - Ars Escritório de Arte,DF,0,0,0,,368,,
antiquariocaminhoto.com.br,Antiquário Caminhoto,,0,0,0,,19,,
tamiriscarvalholeiloeira.com.br,Tamiris Carvalho Leiloeira,,0,0,0,,161,,
tallonileiloes.com.br,Talloni Leilões,,0,0,0,,83,,
albertolopesleiloeiro.com.br,Alberto Lopes - Leiloeiro Público,,0,0,0,,35,,
vitrinedasantiguidades.com.br,Vitrine das Antiguidades,SP,0,0,0,,5,,
leilaovaledosreis.com.br,Leilão Vale dos Reis,,0,0,0,,81,,
leilaomirianneto.com.br,Casa de Leilões Mirian Neto,,0,0,0,,79,,
douroleiloes.com.br,Douro Leilões,,0,0,0,,1,,
leilaodeartebrasileira.com.br,Leilão de Arte Brasileira,,0,0,0,,15,,
cooperlivros.com.br,Cooper Livros Leilões,,0,0,0,,23,,
conradoleiloeiro.com.br,Felix Conrado - Leiloeiro Oficial,,0,0,0,,76,,
jotamleiloes.com.br,Imperial JM Leilões,,0,0,0,,311,,
coelhovirtual.com.br,Coelho Virtual Leiloes,,0,0,0,,25,,
lavecchialeiloes.com.br,La Vecchia antiguidades,,0,0,0,,22,,
joaodefrancoleiloeiro.com.br,João de Franco Leiloeiro,,0,0,0,,13,,
jvlleiloes.com.br,JVL Leilões,,0,0,0,,85,,
gold.lel.br,Gold Leilões,,0,0,0,,48,,
gpaleiloes.com.br,GPA - Garimpo Paulista Antiguidades e Leilões,,0,0,0,,95,,
houseleiloes.com.br,House Leilões,,0,0,0,,106,,
inaciodeabreuleiloes.com.br,Inácio de Abreu Leilões,,0,0,0,,199,,
jfleiloeira.com.br,JF Leiloeira,,0,0,0,,126,,
garimpoleiloes.com.br,Garimpo Leilões,,0,0,0,,18,,
galeriaabaporu.lel.br,Galeria de Artes Abaporu,,0,0,0,,44,,
galeriaartemresilva.art.br,Galeria Arte MR e Silva,,0,0,0,,60,,
evanioalvesleiloeiro.com.br,Evânio Alves - Leiloeiro Público,,0,0,0,,57,,
emporiopaulista.net,Empório Paulista Leilões,,0,0,0,,99,,
flaviasantosleiloes.com.br,Flavia Santos Leilões,,0,0,0,,4,,
tbaracajuleiloes.com.br,TB Aracaju Leilões,,0,0,0,,1,,
teixxeiraleiloes.com.br,Teixxeira Leilões,,0,0,0,,9,,
tzileiloes.com.br,Galeria de Artes e Antiguidades Tzi Leilões,,0,0,0,,16,,
tremdas7.com.br,Robson Gini Leilões - Trem das 7,,0,0,0,,4,,
thgleiloes.com.br,THG Leilões,,0,0,0,,58,,
valmirmatos.lel.br,Valmir Matos - Leiloeiro Oficial,,0,0,0,,88,,
vermerleiloes.com.br,Vermer Leilões,,0,0,0,,9,,
velhavelharialeiloes.com.br,Velha Velharia Antiguidades,,0,0,0,,7,,
vapordaarte.com.br,Vapor da Arte Leilões,,0,0,0,,32,,
marthapadilhaleiloeira.lel.br,Martha Isolda Padilha Leiloeira,,0,0,0,,31,,
plusartedecorleiloes.com.br,Plus Arte Decor e Leilões,RJ,0,0,0,,24,,
pecaunicacolecionismo.com.br,Peça Única Colecionismo,,0,0,0,,4,,
paulaoantiguidades.com.br,Leilões Paulão antiguidades,,0,0,0,,59,,
miltrekosleiloes.com.br,Miltrekos Leilões,,0,0,0,,42,,
miguelsalles.com.br,Miguel Salles Escritório de Artes,,0,0,0,,62,,
marragavi.com.br,Marragavi Design - Artes e Antiguidades,,0,0,0,,110,,
mazzola368leiloes.com.br,Ganesha Antigo,,0,0,0,,56,,
leiloeslemos.com.br,Leilões Lemos,,0,0,0,,144,,
leiloesvitoria.com.br,Leilões Vitória,,0,0,0,,336,,
marrakechantique.com.br,Marrakech Antique - Antiquário,,0,0,0,,66,,
marirodriguesleiloeira.com.br,Marilaine Rodrigues - Leiloeira Pública,,0,0,0,,87,,
marciopinho.com.br,Marcio Pinho - Leiloeiro Público,,0,0,0,,35,,
magleiloes.com.br,Mag Leilões,,0,0,0,,12,,
raildacosta.com.br,Railda Costa - Leiloeira Oficial,,0,0,0,,96,,
bonequinhadeluxoleiloes.com.br,Bonequinha de Luxo Leilões,,0,0,0,,2,,
brexodolucio.com.br,Antiquário Brexo do Lúcio,,0,0,0,,17,,
ricamemoria.com.br,Rica Memória,,0,0,0,,9,,
resgatemoveisleiloes.com,Resgate Móveis leilões,,0,0,0,,35,,
renotleiloes.com.br,Renot Leilões,,0,0,0,,22,,
capitaldasartes.com.br,Capital das Artes,,0,0,0,,65,,
bruceangeirasleiloeiro.com.br,Bruce Angeiras Leilões,,0,0,0,,94,,
brunoreisarte.com.br,Bruno Reis Leilões,,0,0,0,,119,,
rioantigoleiloes.com.br,Rio Antigo Leilões,,0,0,0,,128,,
rioarteleiloes.com.br,Rio Arte Leilões,,0,0,0,,26,,
rtleiloes.com.br,RT Leilões e Artes,,0,0,0,,3,,
rrdeco.com.br,RR DECO Antiguidades,,0,0,0,,756,,
rmgouvealeiloes.com.br,Roberto Magalhães Gouvêa - Leiloeiro Oficial,,0,0,0,,51,,
rosalinoleiloes.com.br,Rosalino Leilões,,0,0,0,,5,,
vmescritarteleiloes.com.br,VM Escritório de Arte,,0,0,0,,91,,
shoppingdosantiquarios.lel.br,Shopping dos Antiquários,,0,0,0,,159,,
wattenleiloes.com.br,Watten Leilões,,0,0,0,,65,,
yankous.com.br,André Yankous Leiloeiro Público,,0,0,0,,16,,
